Year,Country,Category Type,Food Category,Food Value
2011,Ecuador,"Cocoa paste, butter, and powder",Cocoa and chocolate,11.20
2010,Ecuador,"Cocoa paste, butter, and powder",Cocoa and chocolate,8.90
2023,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,54.70
2022,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,52.30
2021,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,41.40
2020,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,37.70
2019,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,17.90
2018,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,23.90
2017,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,33.50
2016,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,33.70
2015,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,30.60
2014,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,24.20
2013,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,35.90
2012,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,29.80
2011,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,32.00
2010,Canada,"Cocoa paste, butter, and powder",Cocoa and chocolate,34.30
2023,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,38.30
2022,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,33.10
2021,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,25.30
2020,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,22.80
2019,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,20.90
2018,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,27.60
2017,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,35.30
2016,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,27.50
2015,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,19.20
2014,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,25.10
2013,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,33.90
2012,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,47.30
2011,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,48.70
2010,Spain,"Cocoa paste, butter, and powder",Cocoa and chocolate,35.50
2023,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,225.40
2022,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,294.50
2021,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,261.00
2020,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,231.80
2019,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,301.10
2018,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,277.20
2017,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,309.60
2016,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,359.30
2015,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,324.40
2014,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,312.00
2013,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,257.80
2012,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,313.30
2011,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,414.00
2010,Rest of world,"Cocoa paste, butter, and powder",Cocoa and chocolate,419.90
2023,Canada,Chocolate,Cocoa and chocolate,1977.50
2022,Canada,Chocolate,Cocoa and chocolate,1880.70
2021,Canada,Chocolate,Cocoa and chocolate,1647.00
2020,Canada,Chocolate,Cocoa and chocolate,1506.70
2019,Canada,Chocolate,Cocoa and chocolate,1500.70
2018,Canada,Chocolate,Cocoa and chocolate,1378.90
2017,Canada,Chocolate,Cocoa and chocolate,1420.90
2016,Canada,Chocolate,Cocoa and chocolate,1411.80
2015,Canada,Chocolate,Cocoa and chocolate,1290.30
2014,Canada,Chocolate,Cocoa and chocolate,1153.10
2013,Canada,Chocolate,Cocoa and chocolate,1010.10
2012,Canada,Chocolate,Cocoa and chocolate,959.50
2011,Canada,Chocolate,Cocoa and chocolate,908.50
2010,Canada,Chocolate,Cocoa and chocolate,837.90
2023,Mexico,Chocolate,Cocoa and chocolate,598.20
2022,Mexico,Chocolate,Cocoa and chocolate,560.90
2021,Mexico,Chocolate,Cocoa and chocolate,477.80
2020,Mexico,Chocolate,Cocoa and chocolate,517.90
2019,Mexico,Chocolate,Cocoa and chocolate,526.40
2018,Mexico,Chocolate,Cocoa and chocolate,458.00
2017,Mexico,Chocolate,Cocoa and chocolate,496.20
2016,Mexico,Chocolate,Cocoa and chocolate,466.70
2015,Mexico,Chocolate,Cocoa and chocolate,450.20
2014,Mexico,Chocolate,Cocoa and chocolate,411.50
2013,Mexico,Chocolate,Cocoa and chocolate,419.00
2012,Mexico,Chocolate,Cocoa and chocolate,416.40
2011,Mexico,Chocolate,Cocoa and chocolate,411.20
2010,Mexico,Chocolate,Cocoa and chocolate,349.70
2023,Belgium,Chocolate,Cocoa and chocolate,203.60
2022,Belgium,Chocolate,Cocoa and chocolate,180.20
2021,Belgium,Chocolate,Cocoa and chocolate,158.60
2020,Belgium,Chocolate,Cocoa and chocolate,125.90
2019,Belgium,Chocolate,Cocoa and chocolate,148.60
2018,Belgium,Chocolate,Cocoa and chocolate,139.30
2017,Belgium,Chocolate,Cocoa and chocolate,156.80
2016,Belgium,Chocolate,Cocoa and chocolate,136.90
2015,Belgium,Chocolate,Cocoa and chocolate,122.30
2014,Belgium,Chocolate,Cocoa and chocolate,128.00
2013,Belgium,Chocolate,Cocoa and chocolate,120.30
2012,Belgium,Chocolate,Cocoa and chocolate,116.30
2011,Belgium,Chocolate,Cocoa and chocolate,111.80
2010,Belgium,Chocolate,Cocoa and chocolate,86.50
2023,Germany,Chocolate,Cocoa and chocolate,186.10
2022,Germany,Chocolate,Cocoa and chocolate,162.80
2021,Germany,Chocolate,Cocoa and chocolate,145.60
2020,Germany,Chocolate,Cocoa and chocolate,134.70
2019,Germany,Chocolate,Cocoa and chocolate,131.80
2018,Germany,Chocolate,Cocoa and chocolate,146.80
2017,Germany,Chocolate,Cocoa and chocolate,135.30
2016,Germany,Chocolate,Cocoa and chocolate,116.60
2015,Germany,Chocolate,Cocoa and chocolate,125.30
2014,Germany,Chocolate,Cocoa and chocolate,156.00
2013,Germany,Chocolate,Cocoa and chocolate,150.90
2012,Germany,Chocolate,Cocoa and chocolate,132.10
2011,Germany,Chocolate,Cocoa and chocolate,111.60
2010,Germany,Chocolate,Cocoa and chocolate,89.30
2023,Poland,Chocolate,Cocoa and chocolate,140.80
2022,Poland,Chocolate,Cocoa and chocolate,136.20
2021,Poland,Chocolate,Cocoa and chocolate,100.60
2020,Poland,Chocolate,Cocoa and chocolate,72.10
2019,Poland,Chocolate,Cocoa and chocolate,67.70
2018,Poland,Chocolate,Cocoa and chocolate,74.80
2017,Poland,Chocolate,Cocoa and chocolate,53.90
2016,Poland,Chocolate,Cocoa and chocolate,36.80
2015,Poland,Chocolate,Cocoa and chocolate,30.10
2014,Poland,Chocolate,Cocoa and chocolate,28.50
2013,Poland,Chocolate,Cocoa and chocolate,27.60
2012,Poland,Chocolate,Cocoa and chocolate,22.30
2011,Poland,Chocolate,Cocoa and chocolate,16.60
2010,Poland,Chocolate,Cocoa and chocolate,16.80
2023,Italy,Chocolate,Cocoa and chocolate,97.00
2022,Italy,Chocolate,Cocoa and chocolate,103.80
2021,Italy,Chocolate,Cocoa and chocolate,67.50
2020,Italy,Chocolate,Cocoa and chocolate,58.70
2019,Italy,Chocolate,Cocoa and chocolate,58.80
2018,Italy,Chocolate,Cocoa and chocolate,51.00
2017,Italy,Chocolate,Cocoa and chocolate,46.90
2016,Italy,Chocolate,Cocoa and chocolate,41.10
2015,Italy,Chocolate,Cocoa and chocolate,38.50
2014,Italy,Chocolate,Cocoa and chocolate,41.20
2013,Italy,Chocolate,Cocoa and chocolate,41.10
2012,Italy,Chocolate,Cocoa and chocolate,31.20
2011,Italy,Chocolate,Cocoa and chocolate,33.40
2010,Italy,Chocolate,Cocoa and chocolate,24.80
2023,Switzerland,Chocolate,Cocoa and chocolate,90.70
2022,Switzerland,Chocolate,Cocoa and chocolate,81.50
2021,Switzerland,Chocolate,Cocoa and chocolate,71.00
2020,Switzerland,Chocolate,Cocoa and chocolate,59.00
2019,Switzerland,Chocolate,Cocoa and chocolate,71.30
2018,Switzerland,Chocolate,Cocoa and chocolate,66.90
2017,Switzerland,Chocolate,Cocoa and chocolate,55.70
2016,Switzerland,Chocolate,Cocoa and chocolate,63.10
2015,Switzerland,Chocolate,Cocoa and chocolate,55.80
2014,Switzerland,Chocolate,Cocoa and chocolate,57.60
2013,Switzerland,Chocolate,Cocoa and chocolate,53.50
2012,Switzerland,Chocolate,Cocoa and chocolate,46.90
2011,Switzerland,Chocolate,Cocoa and chocolate,56.60
2010,Switzerland,Chocolate,Cocoa and chocolate,47.60
2023,Croatia,Chocolate,Cocoa and chocolate,65.80
2022,Croatia,Chocolate,Cocoa and chocolate,32.10
2021,Croatia,Chocolate,Cocoa and chocolate,15.90
2020,Croatia,Chocolate,Cocoa and chocolate,4.70
2019,Croatia,Chocolate,Cocoa and chocolate,2.10
2018,Croatia,Chocolate,Cocoa and chocolate,1.90
2017,Croatia,Chocolate,Cocoa and chocolate,1.60
2016,Croatia,Chocolate,Cocoa and chocolate,1.60
2015,Croatia,Chocolate,Cocoa and chocolate,1.30
2014,Croatia,Chocolate,Cocoa and chocolate,1.60
2013,Croatia,Chocolate,Cocoa and chocolate,1.50
2012,Croatia,Chocolate,Cocoa and chocolate,1.40
2011,Croatia,Chocolate,Cocoa and chocolate,1.30
2010,Croatia,Chocolate,Cocoa and chocolate,1.90
2023,Rest of world,Chocolate,Cocoa and chocolate,568.40
2022,Rest of world,Chocolate,Cocoa and chocolate,518.30
2021,Rest of world,Chocolate,Cocoa and chocolate,416.70
2020,Rest of world,Chocolate,Cocoa and chocolate,312.00
2019,Rest of world,Chocolate,Cocoa and chocolate,326.90
2018,Rest of world,Chocolate,Cocoa and chocolate,306.50
2017,Rest of world,Chocolate,Cocoa and chocolate,276.30
2016,Rest of world,Chocolate,Cocoa and chocolate,278.80
2015,Rest of world,Chocolate,Cocoa and chocolate,256.90
2014,Rest of world,Chocolate,Cocoa and chocolate,252.50
2013,Rest of world,Chocolate,Cocoa and chocolate,226.20
2012,Rest of world,Chocolate,Cocoa and chocolate,213.90
2011,Rest of world,Chocolate,Cocoa and chocolate,198.40
2010,Rest of world,Chocolate,Cocoa and chocolate,164.10
